Date,Category,Symbol,OPEN,HIGH,LOW,CLOSE,Volume,MA,MACD,MACDSignal,MACDHist,LL,Trender,ADX,DMI,Engulf,RSI,Demark,score,Signal,Extreme Signal
2017-08-14 08:00:00,Crypto,BTC/USDT,4261.48,4485.39,3850.0,4086.29,2843.431426,,,,,False,1.0,,,0,0,0,,Neutral,Neutral
2017-08-21 08:00:00,Crypto,BTC/USDT,4069.13,4453.91,3400.0,4310.01,4599.396629,,,,,False,1.0,,,0,0,0,,Neutral,Neutral
2017-08-28 08:00:00,Crypto,BTC/USDT,4310.01,4939.19,4124.54,4509.08,4753.843376,,,,,False,1.0,,,0,0,0,,Neutral,Neutral
2017-09-04 08:00:00,Crypto,BTC/USDT,4505.0,4788.59,3603.0,4130.37,6382.787745,,,,,False,1.0,,,0,0,0,,Neutral,Neutral
2017-09-11 08:00:00,Crypto,BTC/USDT,4153.62,4394.59,2817.0,3699.99,8106.705127,,,,,False,1.0,,,0,0,0,,Neutral,Neutral
2017-09-18 08:00:00,Crypto,BTC/USDT,3690.0,4123.2,3505.55,3660.02,5908.32335,,,,,False,1.0,,,0,0,0,,Neutral,Neutral
2017-09-25 08:00:00,Crypto,BTC/USDT,3660.02,4406.52,3653.69,4378.48,5782.305424,,,,,False,1.0,,,0,0,0,,Neutral,Neutral
2017-10-02 08:00:00,Crypto,BTC/USDT,4400.0,4658.0,4110.0,4640.0,4708.272956,,,,,False,1.0,,,0,0,0,,Neutral,Neutral
2017-10-09 08:00:00,Crypto,BTC/USDT,4640.0,5922.3,4550.0,5709.99,7913.925837,,,,,False,1.0,,,0,0,0,,Neutral,Neutral
2017-10-16 08:00:00,Crypto,BTC/USDT,5710.0,6171.0,5037.95,5950.02,12157.769447,,,,,False,1.0,,,0,0,0,,Neutral,Neutral
2017-10-23 08:00:00,Crypto,BTC/USDT,5975.0,6189.88,5286.98,6169.98,13133.99457,,,,,False,1.0,,,0,0,0,,Neutral,Neutral
2017-10-30 08:00:00,Crypto,BTC/USDT,6133.01,7590.25,6030.0,7345.01,11663.209648,,,,,False,1.0,,,0,0,0,,Neutral,Neutral
2017-11-06 08:00:00,Crypto,BTC/USDT,7345.1,7770.02,5325.01,5811.03,18916.3199,,,,,False,1.0,,,0,0,0,,Neutral,Neutral
2017-11-13 08:00:00,Crypto,BTC/USDT,5839.94,8123.15,5699.99,8038.0,19791.101011,,,,,False,1.0,,,0,0,0,,Neutral,Neutral
2017-11-20 08:00:00,Crypto,BTC/USDT,8057.11,9350.0,7801.0,9128.02,28921.859792,,,,,False,1.0,,1.0,0,1,0,,Neutral,Neutral
2017-11-27 08:00:00,Crypto,BTC/USDT,9128.0,11825.0,8520.0,11165.41,48427.94965,,,,,False,1.0,,1.0,0,1,0,,Neutral,Neutral
2017-12-04 08:00:00,Crypto,BTC/USDT,11165.41,17204.99,10802.0,14899.98,72469.977627,,,,,False,1.0,,1.0,0,1,1,,Neutral,Neutral
2017-12-11 08:00:00,Crypto,BTC/USDT,14946.26,19798.68,14666.56,18860.02,67851.486215,,,,,False,1.0,,1.0,0,1,0,,Neutral,Neutral
2017-12-18 08:00:00,Crypto,BTC/USDT,18860.04,19300.0,10961.0,13500.0,135385.440322,,,,,False,1.0,,1.0,0,2,2,,Neutral,Neutral
2017-12-25 08:00:00,Crypto,BTC/USDT,13500.0,16498.05,11750.0,13716.36,116522.754321,1.0,,,,False,1.0,,1.0,0,0,2,,Neutral,Neutral
2018-01-01 08:00:00,Crypto,BTC/USDT,13715.65,17176.24,12750.0,16150.03,120239.399359,1.0,,,,False,1.0,,1.0,0,1,0,,Neutral,Neutral
2018-01-08 08:00:00,Crypto,BTC/USDT,16218.85,16322.3,11400.0,13474.99,137537.904565,1.0,,,,False,1.0,,1.0,0,2,0,,Neutral,Neutral
2018-01-15 08:00:00,Crypto,BTC/USDT,13477.98,14249.99,9035.0,11530.0,303127.502137,1.0,,,,False,1.0,,1.0,0,0,0,,Neutral,Neutral
2018-01-22 08:00:00,Crypto,BTC/USDT,11530.0,12244.0,9900.24,11879.95,198030.051117,1.0,,,,False,1.0,,1.0,0,0,0,,Neutral,Neutral
2018-01-29 08:00:00,Crypto,BTC/USDT,11879.95,11975.02,7930.0,8184.81,202016.407759,1.0,,,,False,-1.0,,1.0,0,0,0,,Neutral,Neutral
2018-02-05 08:00:00,Crypto,BTC/USDT,8179.99,9065.78,6000.01,8063.88,340794.292131,1.0,,,,False,-1.0,,-1.0,0,0,0,,Neutral,Neutral
2018-02-12 08:00:00,Crypto,BTC/USDT,8063.82,11274.0,8053.0,10383.43,311863.068137,1.0,,,,False,-1.0,,1.0,0,0,0,,Neutral,Neutral
2018-02-19 08:00:00,Crypto,BTC/USDT,10375.01,11786.01,9274.8,9590.0,350623.132911,1.0,,,,False,-1.0,,1.0,0,0,0,,Neutral,Neutral
2018-02-26 08:00:00,Crypto,BTC/USDT,9590.0,11565.0,9350.0,11515.0,183970.997614,1.0,,,,False,-1.0,,1.0,0,0,0,,Neutral,Neutral
2018-03-05 08:00:00,Crypto,BTC/USDT,11515.0,11710.0,8329.0,9533.57,282035.225382,1.0,,,,False,-1.0,,-1.0,0,0,0,,Neutral,Neutral
2018-03-12 08:00:00,Crypto,BTC/USDT,9533.57,9888.88,7322.0,8189.99,315835.151606,-1.0,,,,False,-1.0,,-1.0,2,0,0,,Neutral,Neutral
2018-03-19 08:00:00,Crypto,BTC/USDT,8189.0,9177.01,8088.4,8470.15,285211.539511,-1.0,,,,False,-1.0,,-1.0,0,0,0,,Neutral,Neutral
2018-03-26 08:00:00,Crypto,BTC/USDT,8470.14,8514.89,6430.0,6813.01,308729.492031,-1.0,,,,False,-1.0,,-1.0,0,0,0,,Neutral,Neutral
2018-04-02 08:00:00,Crypto,BTC/USDT,6813.01,7520.0,6500.0,7018.0,232320.070499,-1.0,881.3638188933819,2374.718526567399,-1493.354707674017,False,-1.0,,-1.0,0,0,0,,Neutral,Neutral
2018-04-09 08:00:00,Crypto,BTC/USDT,7011.04,8429.54,6611.0,8355.0,259877.022414,-1.0,723.3267113252168,2044.4401635189624,-1321.1134521937456,False,-1.0,,-1.0,0,0,0,,Neutral,Neutral
2018-04-16 08:00:00,Crypto,BTC/USDT,8355.07,9035.0,7825.4,8787.02,233025.38619,-1.0,625.7285591128348,1760.6978426377368,-1134.969283524902,False,-1.0,,-1.0,0,0,0,,Neutral,Neutral
2018-04-23 08:00:00,Crypto,BTC/USDT,8785.7,9759.82,8651.62,9419.0,306668.07214,-1.0,592.5463195263492,1527.0675380154594,-934.5212184891102,False,-1.0,,1.0,0,0,0,,Neutral,Neutral
2018-04-30 08:00:00,Crypto,BTC/USDT,9417.04,10020.0,8800.49,9659.01,222274.38854,-1.0,578.9422706249552,1337.4424845373585,-758.5002139124033,False,-1.0,,1.0,0,0,0,,Neutral,Neutral
2018-05-07 08:00:00,Crypto,BTC/USDT,9661.02,9689.67,8153.0,8679.71,224151.298751,-1.0,483.56539731902194,1166.6670670936912,-683.1016697746693,False,-1.0,,-1.0,0,0,0,,Neutral,Neutral
2018-05-14 08:00:00,Crypto,BTC/USDT,8679.71,8879.99,7911.9,8526.98,182713.826012,-1.0,391.14562025803025,1011.562777726559,-620.4171574685288,False,-1.0,,-1.0,0,0,0,,Neutral,Neutral
2018-05-21 08:00:00,Crypto,BTC/USDT,8526.97,8595.31,7231.11,7338.99,190894.600939,-1.0,219.51103002211858,853.1524281856709,-633.6413981635524,False,-1.0,,-1.0,0,0,0,,Neutral,Neutral
2018-05-28 08:00:00,Crypto,BTC/USDT,7338.99,7786.69,7032.95,7714.26,211929.270766,-1.0,112.47400314188053,705.0167431769129,-592.5427400350324,False,-1.0,-1.0,-1.0,0,0,0,-4.0,Strong Sell,Oversold
2018-06-04 08:00:00,Crypto,BTC/USDT,7714.26,7765.0,6622.81,6764.99,211352.737478,-1.0,-48.39391254083603,554.3346120333631,-602.7285245741991,False,-1.0,-1.0,-1.0,0,0,0,-4.0,Strong Sell,Oversold
2018-06-11 08:00:00,Crypto,BTC/USDT,6765.0,6922.0,6118.68,6449.61,234080.841171,-1.0,-199.03704975617438,403.6602796754556,-602.69732943163,False,-1.0,-1.0,-1.0,0,0,0,-4.0,Strong Sell,Oversold
2018-06-18 08:00:00,Crypto,BTC/USDT,6444.06,6841.74,5750.0,6136.97,234147.621015,-1.0,-339.7340142439043,254.98142089158364,-594.715435135488,False,-1.0,-1.0,-1.0,0,0,0,-4.0,Strong Sell,Oversold
2018-06-25 08:00:00,Crypto,BTC/USDT,6137.95,6528.99,5780.0,6356.81,207746.559006,-1.0,-428.5579720135629,118.27354231055432,-546.8315143241173,False,-1.0,-1.0,-1.0,0,0,0,-4.0,Strong Sell,Oversold
2018-07-02 08:00:00,Crypto,BTC/USDT,6360.82,6818.16,6271.62,6712.1,211526.019058,-1.0,-464.9233181634254,1.6341702157583597,-466.5574883791837,False,-1.0,-1.0,-1.0,0,0,0,-4.0,Strong Sell,Oversold
2018-07-09 08:00:00,Crypto,BTC/USDT,6712.1,6802.06,6070.0,6353.01,192452.84988,-1.0,-516.7617709228516,-102.04501801196363,-414.716752910888,False,-1.0,-1.0,-1.0,0,0,0,-4.0,Strong Sell,Oversold
2018-07-16 08:00:00,Crypto,BTC/USDT,6354.15,7700.0,6330.4,7394.79,294313.222604,-1.0,-468.3819630172984,-175.3124070130306,-293.06955600426784,False,-1.0,-1.0,-1.0,0,0,0,-4.0,Strong Sell,Oversold
2018-07-23 08:00:00,Crypto,BTC/USDT,7394.78,8491.77,7375.0,8211.0,288666.047141,-1.0,-360.0290996950862,-212.2557455494417,-147.77335414564448,False,-1.0,-1.0,1.0,0,0,0,-2.0,Sell,Neutral
2018-07-30 08:00:00,Crypto,BTC/USDT,8210.99,8273.0,6882.29,7024.19,282090.103584,-1.0,-365.70866148315235,-242.94632873618383,-122.76233274696853,False,-1.0,-1.0,-1.0,0,0,0,-4.0,Strong Sell,Oversold
2018-08-06 08:00:00,Crypto,BTC/USDT,7024.19,7160.0,5971.0,6308.33,334426.550743,-1.0,-423.0964815566158,-278.97635930027025,-144.12012225634555,False,-1.0,-1.0,-1.0,0,0,0,-4.0,Strong Sell,Oversold
2018-08-13 08:00:00,Crypto,BTC/USDT,6308.56,6620.0,5880.0,6477.53,378189.296487,-1.0,-449.73940062777274,-313.1289675657707,-136.61043306200202,False,-1.0,-1.0,-1.0,0,0,0,-4.0,Strong Sell,Oversold
2018-08-20 08:00:00,Crypto,BTC/USDT,6477.53,6882.54,6220.0,6700.0,286906.539311,-1.0,-447.74135259944524,-340.0514445725056,-107.68990802693963,False,-1.0,-1.0,-1.0,0,0,0,-4.0,Strong Sell,Oversold
2018-08-27 08:00:00,Crypto,BTC/USDT,6700.0,7345.45,6646.5,7302.01,294674.913005,-1.0,-393.0498750547504,-350.6511306689546,-42.398744385795794,False,-1.0,-1.0,-1.0,0,0,0,-4.0,Strong Sell,Oversold
2018-09-03 08:00:00,Crypto,BTC/USDT,7302.0,7410.0,6111.0,6250.81,306231.623424,-1.0,-429.57763623705796,-366.43643178257526,-63.141204454482704,False,-1.0,-1.0,-1.0,0,0,0,-4.0,Strong Sell,Oversold
2018-09-10 08:00:00,Crypto,BTC/USDT,6252.26,6584.99,6169.68,6505.0,227428.182854,-1.0,-433.0235159526883,-379.75384861659785,-53.269667336090436,False,-1.0,-1.0,-1.0,1,0,0,-3.0,Sell,Neutral
2018-09-17 08:00:00,Crypto,BTC/USDT,6500.08,6839.03,6123.0,6708.0,244256.490121,-1.0,-414.59480614638505,-386.7220401225553,-27.87276602382974,False,-1.0,-1.0,-1.0,1,0,0,-3.0,Sell,Neutral
